=== SEEDER RUN STARTED Sun Apr  5 12:24:07 EDT 2026 ===

=== PHASE 1: Cross-seed from pricing models ===
Started: Sun Apr  5 12:24:07 EDT 2026
Cities: 739 | Services: roofing, hvac, plumbing, electrical, solar | Max: all
  SEED Dothan, AL [hvac] = $8,100 (trust=90)
  SEED Baton Rouge, LA [hvac] = $9,600 (trust=90)
  SEED Baton Rouge, LA [plumbing] = $2,700 (trust=90)
  SEED Baton Rouge, LA [electrical] = $2,600 (trust=90)
  SEED Baton Rouge, LA [solar] = $28,900 (trust=90)
  SEED Bossier City, LA [roofing] = $10,900 (trust=90)
  SEED Bossier City, LA [hvac] = $8,700 (trust=90)
  SEED Bossier City, LA [plumbing] = $2,400 (trust=90)
  SEED Bossier City, LA [electrical] = $2,200 (trust=90)
  SEED Bossier City, LA [solar] = $24,500 (trust=90)
  SEED Kenner, LA [roofing] = $11,900 (trust=90)
  SEED Kenner, LA [hvac] = $9,700 (trust=90)
  SEED Kenner, LA [plumbing] = $2,600 (trust=90)
  SEED Kenner, LA [electrical] = $2,500 (trust=90)
  SEED Kenner, LA [solar] = $28,400 (trust=90)
  SEED Lafayette, LA [roofing] = $11,100 (trust=90)
  SEED Lafayette, LA [hvac] = $8,800 (trust=90)
  SEED Lafayette, LA [plumbing] = $2,400 (trust=90)
  SEED Lafayette, LA [electrical] = $2,400 (trust=90)
  SEED Lafayette, LA [solar] = $26,400 (trust=90)
  SEED Lake Charles, LA [roofing] = $11,900 (trust=90)
  SEED Lake Charles, LA [hvac] = $8,700 (trust=90)
  SEED Lake Charles, LA [plumbing] = $2,700 (trust=90)
  SEED Lake Charles, LA [electrical] = $2,500 (trust=90)
  SEED Lake Charles, LA [solar] = $28,300 (trust=90)
  SEED Monroe, LA [roofing] = $10,500 (trust=90)
  SEED Monroe, LA [hvac] = $7,900 (trust=90)
  SEED Monroe, LA [plumbing] = $2,300 (trust=90)
  SEED Monroe, LA [electrical] = $2,100 (trust=90)
  SEED Monroe, LA [solar] = $24,300 (trust=90)
  SEED New Orleans, LA [hvac] = $9,700 (trust=90)
  SEED New Orleans, LA [plumbing] = $2,600 (trust=90)
  SEED New Orleans, LA [electrical] = $2,500 (trust=90)
  SEED New Orleans, LA [solar] = $28,400 (trust=90)
  SEED Shreveport, LA [roofing] = $10,900 (trust=90)
  SEED Shreveport, LA [hvac] = $8,700 (trust=90)
  SEED Shreveport, LA [plumbing] = $2,400 (trust=90)
  SEED Shreveport, LA [electrical] = $2,200 (trust=90)
  SEED Shreveport, LA [solar] = $24,500 (trust=90)
  SEED Portland, ME [roofing] = $12,900 (trust=90)
  SEED Portland, ME [plumbing] = $2,700 (trust=90)
  SEED Portland, ME [electrical] = $2,800 (trust=90)
  SEED Annapolis, MD [roofing] = $13,000 (trust=90)
  SEED Annapolis, MD [hvac] = $10,400 (trust=90)
  SEED Annapolis, MD [plumbing] = $2,700 (trust=90)
  SEED Annapolis, MD [electrical] = $2,700 (trust=90)
  SEED Annapolis, MD [solar] = $30,900 (trust=90)
  SEED Baltimore, MD [roofing] = $13,000 (trust=90)
  SEED Baltimore, MD [plumbing] = $2,700 (trust=90)
  SEED Baltimore, MD [electrical] = $2,700 (trust=90)
  SEED Bowie, MD [roofing] = $13,900 (trust=90)
  SEED Bowie, MD [hvac] = $11,400 (trust=90)
  SEED Bowie, MD [plumbing] = $2,800 (trust=90)
  SEED Bowie, MD [electrical] = $3,000 (trust=90)
  SEED Bowie, MD [solar] = $33,700 (trust=90)
  SEED Frederick, MD [roofing] = $13,900 (trust=90)
  SEED Frederick, MD [hvac] = $11,400 (trust=90)
  SEED Frederick, MD [plumbing] = $2,800 (trust=90)
  SEED Frederick, MD [electrical] = $3,000 (trust=90)
  SEED Frederick, MD [solar] = $33,700 (trust=90)
  SEED Gaithersburg, MD [roofing] = $13,900 (trust=90)
  SEED Gaithersburg, MD [hvac] = $11,400 (trust=90)
  SEED Gaithersburg, MD [plumbing] = $2,800 (trust=90)
  SEED Gaithersburg, MD [electrical] = $3,000 (trust=90)
  SEED Gaithersburg, MD [solar] = $33,700 (trust=90)
  SEED Hagerstown, MD [roofing] = $12,200 (trust=90)
  SEED Hagerstown, MD [hvac] = $9,800 (trust=90)
  SEED Hagerstown, MD [plumbing] = $2,400 (trust=90)
  SEED Hagerstown, MD [electrical] = $2,600 (trust=90)
  SEED Hagerstown, MD [solar] = $28,900 (trust=90)
  SEED Rockville, MD [roofing] = $13,900 (trust=90)
  SEED Rockville, MD [hvac] = $11,400 (trust=90)
  SEED Rockville, MD [plumbing] = $2,800 (trust=90)
  SEED Rockville, MD [electrical] = $3,000 (trust=90)
  SEED Rockville, MD [solar] = $33,700 (trust=90)
... 300/739 cities processed (1411 seeded, 89 skipped)
  SEED Attleboro, MA [roofing] = $15,700 (trust=90)
  SEED Attleboro, MA [hvac] = $12,000 (trust=90)
  SEED Attleboro, MA [plumbing] = $3,300 (trust=90)
  SEED Attleboro, MA [electrical] = $3,300 (trust=90)
  SEED Attleboro, MA [solar] = $37,100 (trust=90)
  SEED Barnstable Town, MA [roofing] = $15,200 (trust=90)
  SEED Barnstable Town, MA [hvac] = $11,600 (trust=90)
  SEED Barnstable Town, MA [plumbing] = $3,200 (trust=90)
  SEED Barnstable Town, MA [electrical] = $3,200 (trust=90)
  SEED Barnstable Town, MA [solar] = $36,000 (trust=90)
  SEED Beverly, MA [roofing] = $15,700 (trust=90)
  SEED Beverly, MA [hvac] = $12,000 (trust=90)
  SEED Beverly, MA [plumbing] = $3,300 (trust=90)
  SEED Beverly, MA [electrical] = $3,300 (trust=90)
  SEED Beverly, MA [solar] = $37,100 (trust=90)
  SEED Boston, MA [plumbing] = $3,300 (trust=90)
  SEED Brockton, MA [roofing] = $15,700 (trust=90)
  SEED Brockton, MA [hvac] = $12,000 (trust=90)
  SEED Brockton, MA [plumbing] = $3,300 (trust=90)
  SEED Brockton, MA [electrical] = $3,300 (trust=90)
  SEED Brockton, MA [solar] = $37,100 (trust=90)
  SEED Cambridge, MA [roofing] = $15,700 (trust=90)
  SEED Cambridge, MA [hvac] = $12,000 (trust=90)
  SEED Cambridge, MA [plumbing] = $3,300 (trust=90)
  SEED Cambridge, MA [electrical] = $3,300 (trust=90)
  SEED Cambridge, MA [solar] = $37,100 (trust=90)
  SEED Chelsea, MA [roofing] = $15,700 (trust=90)
  SEED Chelsea, MA [hvac] = $12,000 (trust=90)
  SEED Chelsea, MA [plumbing] = $3,300 (trust=90)
  SEED Chelsea, MA [electrical] = $3,300 (trust=90)
  SEED Chelsea, MA [solar] = $37,100 (trust=90)
  SEED Chicopee, MA [roofing] = $15,700 (trust=90)
  SEED Chicopee, MA [hvac] = $12,000 (trust=90)
  SEED Chicopee, MA [plumbing] = $3,300 (trust=90)
  SEED Chicopee, MA [electrical] = $3,300 (trust=90)
  SEED Chicopee, MA [solar] = $37,100 (trust=90)
  SEED Everett, MA [roofing] = $15,700 (trust=90)
  SEED Everett, MA [hvac] = $12,000 (trust=90)
  SEED Everett, MA [plumbing] = $3,300 (trust=90)
  SEED Everett, MA [electrical] = $3,300 (trust=90)
  SEED Everett, MA [solar] = $37,100 (trust=90)
  SEED Fall River, MA [roofing] = $15,700 (trust=90)
  SEED Fall River, MA [hvac] = $12,000 (trust=90)
  SEED Fall River, MA [plumbing] = $3,300 (trust=90)
  SEED Fall River, MA [electrical] = $3,300 (trust=90)
  SEED Fall River, MA [solar] = $37,100 (trust=90)
  SEED Fitchburg, MA [roofing] = $15,700 (trust=90)
  SEED Fitchburg, MA [hvac] = $12,000 (trust=90)
  SEED Fitchburg, MA [plumbing] = $3,300 (trust=90)
  SEED Fitchburg, MA [electrical] = $3,300 (trust=90)
  SEED Fitchburg, MA [solar] = $37,100 (trust=90)
  SEED Haverhill, MA [roofing] = $15,700 (trust=90)
  SEED Haverhill, MA [hvac] = $12,000 (trust=90)
  SEED Haverhill, MA [plumbing] = $3,300 (trust=90)
  SEED Haverhill, MA [electrical] = $3,300 (trust=90)
  SEED Haverhill, MA [solar] = $37,100 (trust=90)
  SEED Holyoke, MA [roofing] = $15,700 (trust=90)
  SEED Holyoke, MA [hvac] = $12,000 (trust=90)
  SEED Holyoke, MA [plumbing] = $3,300 (trust=90)
  SEED Holyoke, MA [electrical] = $3,300 (trust=90)
  SEED Holyoke, MA [solar] = $37,100 (trust=90)
  SEED Lawrence, MA [roofing] = $15,700 (trust=90)
  SEED Lawrence, MA [hvac] = $12,000 (trust=90)
  SEED Lawrence, MA [plumbing] = $3,300 (trust=90)
  SEED Lawrence, MA [electrical] = $3,300 (trust=90)
  SEED Lawrence, MA [solar] = $37,100 (trust=90)
  SEED Leominster, MA [roofing] = $15,700 (trust=90)
  SEED Leominster, MA [hvac] = $12,000 (trust=90)
  SEED Leominster, MA [plumbing] = $3,300 (trust=90)
  SEED Leominster, MA [electrical] = $3,300 (trust=90)
  SEED Leominster, MA [solar] = $37,100 (trust=90)
  SEED Lowell, MA [roofing] = $15,700 (trust=90)
  SEED Lowell, MA [hvac] = $12,000 (trust=90)
  SEED Lowell, MA [plumbing] = $3,300 (trust=90)
  SEED Lowell, MA [electrical] = $3,300 (trust=90)
  SEED Lowell, MA [solar] = $37,100 (trust=90)
  SEED Lynn, MA [roofing] = $15,700 (trust=90)
  SEED Lynn, MA [hvac] = $12,000 (trust=90)
  SEED Lynn, MA [plumbing] = $3,300 (trust=90)
  SEED Lynn, MA [electrical] = $3,300 (trust=90)
  SEED Lynn, MA [solar] = $37,100 (trust=90)
  SEED Malden, MA [roofing] = $15,700 (trust=90)
  SEED Malden, MA [hvac] = $12,000 (trust=90)
  SEED Malden, MA [plumbing] = $3,300 (trust=90)
  SEED Malden, MA [electrical] = $3,300 (trust=90)
  SEED Malden, MA [solar] = $37,100 (trust=90)
  SEED Marlborough, MA [roofing] = $15,700 (trust=90)
  SEED Marlborough, MA [hvac] = $12,000 (trust=90)
  SEED Marlborough, MA [plumbing] = $3,300 (trust=90)
  SEED Marlborough, MA [electrical] = $3,300 (trust=90)
  SEED Marlborough, MA [solar] = $37,100 (trust=90)
  SEED Medford, MA [roofing] = $15,700 (trust=90)
  SEED Medford, MA [hvac] = $12,000 (trust=90)
  SEED Medford, MA [plumbing] = $3,300 (trust=90)
  SEED Medford, MA [electrical] = $3,300 (trust=90)
  SEED Medford, MA [solar] = $37,100 (trust=90)
  SEED Methuen, MA [roofing] = $15,700 (trust=90)
  SEED Methuen, MA [hvac] = $12,000 (trust=90)
  SEED Methuen, MA [plumbing] = $3,300 (trust=90)
  SEED Methuen, MA [electrical] = $3,300 (trust=90)
  SEED Methuen, MA [solar] = $37,100 (trust=90)
  SEED New Bedford, MA [roofing] = $15,700 (trust=90)
  SEED New Bedford, MA [hvac] = $12,000 (trust=90)
  SEED New Bedford, MA [plumbing] = $3,300 (trust=90)
  SEED New Bedford, MA [electrical] = $3,300 (trust=90)
  SEED New Bedford, MA [solar] = $37,100 (trust=90)
  SEED Newton, MA [roofing] = $15,700 (trust=90)
  SEED Newton, MA [hvac] = $12,000 (trust=90)
  SEED Newton, MA [plumbing] = $3,300 (trust=90)
  SEED Newton, MA [electrical] = $3,300 (trust=90)
  SEED Newton, MA [solar] = $37,100 (trust=90)
  SEED Peabody, MA [roofing] = $15,700 (trust=90)
  SEED Peabody, MA [hvac] = $12,000 (trust=90)
  SEED Peabody, MA [plumbing] = $3,300 (trust=90)
  SEED Peabody, MA [electrical] = $3,300 (trust=90)
  SEED Peabody, MA [solar] = $37,100 (trust=90)
  SEED Pittsfield, MA [roofing] = $13,200 (trust=90)
  SEED Pittsfield, MA [hvac] = $11,000 (trust=90)
  SEED Pittsfield, MA [plumbing] = $2,900 (trust=90)
  SEED Pittsfield, MA [electrical] = $2,900 (trust=90)
  SEED Pittsfield, MA [solar] = $32,800 (trust=90)
  SEED Quincy, MA [roofing] = $15,700 (trust=90)
  SEED Quincy, MA [hvac] = $12,000 (trust=90)
  SEED Quincy, MA [plumbing] = $3,300 (trust=90)
  SEED Quincy, MA [electrical] = $3,300 (trust=90)
  SEED Quincy, MA [solar] = $37,100 (trust=90)
  SEED Revere, MA [roofing] = $15,700 (trust=90)
  SEED Revere, MA [hvac] = $12,000 (trust=90)
  SEED Revere, MA [plumbing] = $3,300 (trust=90)
  SEED Revere, MA [electrical] = $3,300 (trust=90)
  SEED Revere, MA [solar] = $37,100 (trust=90)
  SEED Salem, MA [roofing] = $15,700 (trust=90)
  SEED Salem, MA [hvac] = $12,000 (trust=90)
  SEED Salem, MA [plumbing] = $3,300 (trust=90)
  SEED Salem, MA [electrical] = $3,300 (trust=90)
  SEED Salem, MA [solar] = $37,100 (trust=90)
  SEED Somerville, MA [roofing] = $15,700 (trust=90)
  SEED Somerville, MA [hvac] = $12,000 (trust=90)
  SEED Somerville, MA [plumbing] = $3,300 (trust=90)
  SEED Somerville, MA [electrical] = $3,300 (trust=90)
  SEED Somerville, MA [solar] = $37,100 (trust=90)
  SEED Springfield, MA [roofing] = $15,800 (trust=90)
  SEED Springfield, MA [hvac] = $11,500 (trust=90)
  SEED Springfield, MA [plumbing] = $3,300 (trust=90)
  SEED Springfield, MA [electrical] = $3,100 (trust=90)
  SEED Springfield, MA [solar] = $34,600 (trust=90)
  SEED Taunton, MA [roofing] = $15,700 (trust=90)
  SEED Taunton, MA [hvac] = $12,000 (trust=90)
  SEED Taunton, MA [plumbing] = $3,300 (trust=90)
  SEED Taunton, MA [electrical] = $3,300 (trust=90)
  SEED Taunton, MA [solar] = $37,100 (trust=90)
  SEED Waltham, MA [roofing] = $15,700 (trust=90)
  SEED Waltham, MA [hvac] = $12,000 (trust=90)
  SEED Waltham, MA [plumbing] = $3,300 (trust=90)
  SEED Waltham, MA [electrical] = $3,300 (trust=90)
  SEED Waltham, MA [solar] = $37,100 (trust=90)
  SEED Westfield, MA [roofing] = $15,700 (trust=90)
  SEED Westfield, MA [hvac] = $12,000 (trust=90)
  SEED Westfield, MA [plumbing] = $3,300 (trust=90)
  SEED Westfield, MA [electrical] = $3,300 (trust=90)
  SEED Westfield, MA [solar] = $37,100 (trust=90)
  SEED Weymouth Town, MA [roofing] = $15,700 (trust=90)
  SEED Weymouth Town, MA [hvac] = $12,000 (trust=90)
  SEED Weymouth Town, MA [plumbing] = $3,300 (trust=90)
  SEED Weymouth Town, MA [electrical] = $3,300 (trust=90)
  SEED Weymouth Town, MA [solar] = $37,100 (trust=90)
  SEED Woburn, MA [roofing] = $15,700 (trust=90)
  SEED Woburn, MA [hvac] = $12,000 (trust=90)
  SEED Woburn, MA [plumbing] = $3,300 (trust=90)
  SEED Woburn, MA [electrical] = $3,300 (trust=90)
  SEED Woburn, MA [solar] = $37,100 (trust=90)
  SEED Worcester, MA [roofing] = $16,300 (trust=90)
  SEED Worcester, MA [hvac] = $11,600 (trust=90)
  SEED Worcester, MA [plumbing] = $3,100 (trust=90)
  SEED Worcester, MA [electrical] = $3,100 (trust=90)
  SEED Worcester, MA [solar] = $34,900 (trust=90)
  SEED Ann Arbor, MI [roofing] = $12,800 (trust=90)
  SEED Ann Arbor, MI [hvac] = $10,400 (trust=90)
  SEED Ann Arbor, MI [plumbing] = $3,000 (trust=90)
  SEED Ann Arbor, MI [electrical] = $3,100 (trust=90)
  SEED Ann Arbor, MI [solar] = $34,100 (trust=90)
  SEED Battle Creek, MI [roofing] = $12,200 (trust=90)
  SEED Battle Creek, MI [hvac] = $9,700 (trust=90)
  SEED Battle Creek, MI [plumbing] = $2,700 (trust=90)
  SEED Battle Creek, MI [electrical] = $2,600 (trust=90)
  SEED Battle Creek, MI [solar] = $29,300 (trust=90)
  SEED Dearborn, MI [roofing] = $13,800 (trust=90)
  SEED Dearborn, MI [hvac] = $10,500 (trust=90)
  SEED Dearborn, MI [plumbing] = $3,100 (trust=90)
  SEED Dearborn, MI [electrical] = $3,100 (trust=90)
  SEED Dearborn, MI [solar] = $34,000 (trust=90)
  SEED Dearborn Heights, MI [roofing] = $13,800 (trust=90)
  SEED Dearborn Heights, MI [hvac] = $10,500 (trust=90)
  SEED Dearborn Heights, MI [plumbing] = $3,100 (trust=90)
  SEED Dearborn Heights, MI [electrical] = $3,100 (trust=90)
  SEED Dearborn Heights, MI [solar] = $34,000 (trust=90)
  SEED Detroit, MI [hvac] = $10,500 (trust=90)
  SEED Detroit, MI [plumbing] = $3,100 (trust=90)
  SEED East Lansing, MI [roofing] = $12,500 (trust=90)
  SEED East Lansing, MI [hvac] = $10,100 (trust=90)
  SEED East Lansing, MI [plumbing] = $2,900 (trust=90)
  SEED East Lansing, MI [electrical] = $2,900 (trust=90)
  SEED East Lansing, MI [solar] = $32,500 (trust=90)
  SEED Farmington Hills, MI [roofing] = $13,800 (trust=90)
  SEED Farmington Hills, MI [hvac] = $10,500 (trust=90)
  SEED Farmington Hills, MI [plumbing] = $3,100 (trust=90)
  SEED Farmington Hills, MI [electrical] = $3,100 (trust=90)
  SEED Farmington Hills, MI [solar] = $34,000 (trust=90)
  SEED Flint, MI [roofing] = $14,300 (trust=90)
  SEED Flint, MI [hvac] = $10,500 (trust=90)
  SEED Flint, MI [plumbing] = $3,000 (trust=90)
  SEED Flint, MI [electrical] = $2,900 (trust=90)
  SEED Flint, MI [solar] = $32,500 (trust=90)
  SEED Grand Rapids, MI [roofing] = $12,200 (trust=90)
  SEED Grand Rapids, MI [hvac] = $9,600 (trust=90)
  SEED Grand Rapids, MI [plumbing] = $2,800 (trust=90)
  SEED Grand Rapids, MI [electrical] = $2,600 (trust=90)
  SEED Grand Rapids, MI [solar] = $29,800 (trust=90)
  SEED Kalamazoo, MI [roofing] = $13,300 (trust=90)
  SEED Kalamazoo, MI [hvac] = $10,700 (trust=90)
  SEED Kalamazoo, MI [plumbing] = $3,000 (trust=90)
  SEED Kalamazoo, MI [electrical] = $2,700 (trust=90)
  SEED Kalamazoo, MI [solar] = $30,100 (trust=90)
  SEED Kentwood, MI [roofing] = $12,200 (trust=90)
  SEED Kentwood, MI [hvac] = $9,600 (trust=90)
  SEED Kentwood, MI [plumbing] = $2,800 (trust=90)
  SEED Kentwood, MI [electrical] = $2,600 (trust=90)
  SEED Kentwood, MI [solar] = $29,800 (trust=90)
  SEED Lansing, MI [roofing] = $12,500 (trust=90)
  SEED Lansing, MI [hvac] = $10,100 (trust=90)
  SEED Lansing, MI [plumbing] = $2,900 (trust=90)
  SEED Lansing, MI [electrical] = $2,900 (trust=90)
  SEED Lansing, MI [solar] = $32,500 (trust=90)
  SEED Lincoln Park, MI [roofing] = $13,800 (trust=90)
  SEED Lincoln Park, MI [hvac] = $10,500 (trust=90)
  SEED Lincoln Park, MI [plumbing] = $3,100 (trust=90)
  SEED Lincoln Park, MI [electrical] = $3,100 (trust=90)
  SEED Lincoln Park, MI [solar] = $34,100 (trust=90)
  SEED Livonia, MI [roofing] = $13,800 (trust=90)
  SEED Livonia, MI [hvac] = $10,500 (trust=90)
  SEED Livonia, MI [plumbing] = $3,100 (trust=90)
  SEED Livonia, MI [electrical] = $3,100 (trust=90)
  SEED Livonia, MI [solar] = $34,000 (trust=90)
... 350/739 cities processed (1654 seeded, 96 skipped)
  SEED Midland, MI [roofing] = $12,400 (trust=90)
  SEED Midland, MI [hvac] = $8,800 (trust=90)
  SEED Midland, MI [plumbing] = $2,400 (trust=90)
  SEED Midland, MI [electrical] = $2,300 (trust=90)
  SEED Midland, MI [solar] = $27,000 (trust=90)
  SEED Muskegon, MI [roofing] = $13,000 (trust=90)
  SEED Muskegon, MI [hvac] = $9,700 (trust=90)
  SEED Muskegon, MI [plumbing] = $2,800 (trust=90)
  SEED Muskegon, MI [electrical] = $2,600 (trust=90)
  SEED Muskegon, MI [solar] = $29,300 (trust=90)
  SEED Novi, MI [roofing] = $13,800 (trust=90)
  SEED Novi, MI [hvac] = $10,500 (trust=90)
  SEED Novi, MI [plumbing] = $3,100 (trust=90)
  SEED Novi, MI [electrical] = $3,100 (trust=90)
  SEED Novi, MI [solar] = $34,000 (trust=90)
  SEED Pontiac, MI [roofing] = $13,800 (trust=90)
  SEED Pontiac, MI [hvac] = $10,500 (trust=90)
  SEED Pontiac, MI [plumbing] = $3,100 (trust=90)
  SEED Pontiac, MI [electrical] = $3,100 (trust=90)
  SEED Pontiac, MI [solar] = $34,000 (trust=90)
  SEED Portage, MI [roofing] = $13,300 (trust=90)
  SEED Portage, MI [hvac] = $10,700 (trust=90)
  SEED Portage, MI [plumbing] = $3,000 (trust=90)
  SEED Portage, MI [electrical] = $2,700 (trust=90)
  SEED Portage, MI [solar] = $30,100 (trust=90)
  SEED Rochester Hills, MI [roofing] = $13,800 (trust=90)
  SEED Rochester Hills, MI [hvac] = $10,500 (trust=90)
  SEED Rochester Hills, MI [plumbing] = $3,100 (trust=90)
  SEED Rochester Hills, MI [electrical] = $3,100 (trust=90)
  SEED Rochester Hills, MI [solar] = $34,000 (trust=90)
  SEED Roseville, MI [roofing] = $13,800 (trust=90)
  SEED Roseville, MI [hvac] = $10,500 (trust=90)
  SEED Roseville, MI [plumbing] = $3,100 (trust=90)
  SEED Roseville, MI [electrical] = $3,100 (trust=90)
  SEED Roseville, MI [solar] = $34,100 (trust=90)
  SEED Royal Oak, MI [roofing] = $13,800 (trust=90)
  SEED Royal Oak, MI [hvac] = $10,500 (trust=90)
  SEED Royal Oak, MI [plumbing] = $3,100 (trust=90)
  SEED Royal Oak, MI [electrical] = $3,100 (trust=90)
  SEED Royal Oak, MI [solar] = $34,000 (trust=90)
  SEED Saginaw, MI [roofing] = $11,800 (trust=90)
  SEED Saginaw, MI [hvac] = $9,800 (trust=90)
  SEED Saginaw, MI [plumbing] = $2,900 (trust=90)
  SEED Saginaw, MI [electrical] = $2,600 (trust=90)
  SEED Saginaw, MI [solar] = $29,100 (trust=90)
  SEED Southfield, MI [roofing] = $13,800 (trust=90)
  SEED Southfield, MI [hvac] = $10,500 (trust=90)
  SEED Southfield, MI [plumbing] = $3,100 (trust=90)
  SEED Southfield, MI [electrical] = $3,100 (trust=90)
  SEED Southfield, MI [solar] = $34,000 (trust=90)
  SEED St. Clair Shores, MI [roofing] = $13,800 (trust=90)
  SEED St. Clair Shores, MI [hvac] = $10,500 (trust=90)
  SEED St. Clair Shores, MI [plumbing] = $3,100 (trust=90)
  SEED St. Clair Shores, MI [electrical] = $3,100 (trust=90)
  SEED St. Clair Shores, MI [solar] = $34,000 (trust=90)
  SEED Sterling Heights, MI [roofing] = $13,800 (trust=90)
  SEED Sterling Heights, MI [hvac] = $10,500 (trust=90)
  SEED Sterling Heights, MI [plumbing] = $3,100 (trust=90)
  SEED Sterling Heights, MI [electrical] = $3,100 (trust=90)
  SEED Sterling Heights, MI [solar] = $34,000 (trust=90)
  SEED Taylor, MI [roofing] = $13,800 (trust=90)
  SEED Taylor, MI [hvac] = $10,500 (trust=90)
  SEED Taylor, MI [plumbing] = $3,100 (trust=90)
  SEED Taylor, MI [electrical] = $3,100 (trust=90)
  SEED Taylor, MI [solar] = $34,000 (trust=90)
  SEED Troy, MI [roofing] = $13,800 (trust=90)
  SEED Troy, MI [hvac] = $10,500 (trust=90)
  SEED Troy, MI [plumbing] = $3,100 (trust=90)
  SEED Troy, MI [electrical] = $3,100 (trust=90)
  SEED Troy, MI [solar] = $34,000 (trust=90)
  SEED Warren, MI [roofing] = $13,800 (trust=90)
  SEED Warren, MI [hvac] = $10,500 (trust=90)
  SEED Warren, MI [plumbing] = $3,100 (trust=90)
  SEED Warren, MI [electrical] = $3,100 (trust=90)
  SEED Warren, MI [solar] = $34,000 (trust=90)
  SEED Westland, MI [roofing] = $13,800 (trust=90)
  SEED Westland, MI [hvac] = $10,500 (trust=90)
  SEED Westland, MI [plumbing] = $3,100 (trust=90)
  SEED Westland, MI [electrical] = $3,100 (trust=90)
  SEED Westland, MI [solar] = $34,000 (trust=90)
  SEED Wyoming, MI [roofing] = $12,200 (trust=90)
  SEED Wyoming, MI [hvac] = $9,600 (trust=90)
  SEED Wyoming, MI [plumbing] = $2,800 (trust=90)
  SEED Wyoming, MI [electrical] = $2,600 (trust=90)
  SEED Wyoming, MI [solar] = $29,800 (trust=90)
  SEED Apple Valley, MN [roofing] = $15,900 (trust=90)
  SEED Apple Valley, MN [hvac] = $11,700 (trust=90)
  SEED Apple Valley, MN [plumbing] = $3,500 (trust=90)
  SEED Apple Valley, MN [electrical] = $3,400 (trust=90)
  SEED Apple Valley, MN [solar] = $38,300 (trust=90)
  SEED Blaine, MN [roofing] = $15,900 (trust=90)
  SEED Blaine, MN [hvac] = $11,700 (trust=90)
  SEED Blaine, MN [plumbing] = $3,500 (trust=90)
  SEED Blaine, MN [electrical] = $3,400 (trust=90)
  SEED Blaine, MN [solar] = $38,300 (trust=90)
  SEED Bloomington, MN [roofing] = $15,900 (trust=90)
  SEED Bloomington, MN [hvac] = $11,700 (trust=90)
